# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 -0.5103146661991147 0.5103018512452078 0.48946855283050167 -0.4894808452511846 24.876949310302734 6.965081691741943 82.80870819091797 1 images/loop_0000.png

2 -0.5049271653775811 0.515546105794392 0.49458769035068256 -0.48440044076938615 25.002304077148438 6.942449569702148 83.32642364501953 1 images/loop_0001.png

3 -0.499482151421134 0.5207280875665689 0.4996581711660254 -0.4792718969624673 25.11678695678711 6.919813632965088 83.86337280273438 1 images/loop_0002.png

4 -0.49411058630748533 0.5257221256108303 0.5045624666221434 -0.47422325166347756 25.21799659729004 6.897703170776367 83.96717834472656 1 images/loop_0003.png

5 -0.48872243724527964 0.5306239422781387 0.5093870220917934 -0.46916252294774674 25.308204650878906 6.87583065032959 84.19998168945312 1 images/loop_0004.png

6 -0.48356767974139675 0.5352080400570385 0.5139174013030048 -0.46433130155718627 25.384124755859375 6.8551716804504395 83.92153930664062 1 images/loop_0005.png

7 -0.4781924060161781 0.539889206517442 0.5185546634097851 -0.45929590524017316 25.452831268310547 6.833979606628418 83.7574691772461 1 images/loop_0006.png

8 -0.47311009755755346 0.5442196869835018 0.5228607391497402 -0.4545419841383731 25.5081787109375 6.814272403717041 83.30461883544922 1 images/loop_0007.png

9 -0.4680670951785604 0.5484294912879591 0.5270599944362732 -0.4498289116559431 25.55410385131836 6.795066833496094 82.76406860351562 1 images/loop_0008.png

10 -0.4639452967388699 0.5518013460218584 0.530440437170056 -0.4459854019776739 25.585115432739258 6.7796311378479 81.79412078857422 1 images/loop_0009.png

11 -0.45953060346762 0.5553534593943432 0.5340091873929159 -0.44186915189383613 25.611980438232422 6.763395309448242 80.88259887695312 1 images/loop_0010.png

12 -0.4560121879617121 0.5581334144253887 0.5368175665526358 -0.4385964846789536 25.628761291503906 6.75067663192749 79.65833282470703 1 images/loop_0011.png

13 -0.45244476094748487 0.5609123653290587 0.5396320504281007 -0.4352795732203588 25.641664505004883 6.737999439239502 78.423583984375 1 images/loop_0012.png

14 -0.4503171177518927 0.5625389264606073 0.5412981505988541 -0.4333136991077433 25.64740753173828 6.730555057525635 76.85972595214844 1 images/loop_0013.png

15 -0.4490027651336259 0.5635252353377775 0.5423247444297108 -0.43211074693775997 25.65022850036621 6.726012229919434 75.16068267822266 1 images/loop_0014.png

16 -0.44726244025433665 0.5648312033382988 0.5436754370280096 -0.43051020945565 25.65314292907715 6.720051288604736 73.52139282226562 1 images/loop_0015.png

17 -0.44518237653746306 0.5663848257896484 0.5452788237653489 -0.42859291301742686 25.6553955078125 6.713006019592285 71.9320297241211 1 images/loop_0016.png

18 -0.4412319771686765 0.5693298158316047 0.5482864774159527 -0.42492333639349245 25.656009674072266 6.69980525970459 70.76126861572266 1 images/loop_0017.png

19 -0.43360822690894824 0.5749362650236625 0.5539677670340393 -0.41779409977265136 25.643733978271484 6.674971580505371 71.44873046875 1 images/loop_0018.png

20 -0.42602484877064034 0.5803461743997496 0.5594816429381789 -0.4107084577954594 25.61434555053711 6.651269912719727 71.87168884277344 1 images/loop_0019.png

21 -0.4184171041867923 0.5856121260029614 0.5648799347719471 -0.4036040437040631 25.568172454833984 6.628544807434082 72.09082794189453 1 images/loop_0020.png

22 -0.4113120185360612 0.5903845353892496 0.569806172920554 -0.39697537591473187 25.510406494140625 6.608344078063965 71.89851379394531 1 images/loop_0021.png

23 -0.4042544630251971 0.5949934112638391 0.574591020687572 -0.3903925314629413 25.439395904541016 6.589266777038574 71.57095336914062 1 images/loop_0022.png

24 -0.39652805958085935 0.5999107858138784 0.5797011076061258 -0.3831699007874243 25.346393585205078 6.5693359375 72.08089447021484 1 images/loop_0023.png

25 -0.39133775512463825 0.6031577904787073 0.5830522096430055 -0.3782929579429958 25.275033950805664 6.556271076202393 73.92708587646484 1 images/loop_0024.png

26 -0.38457441785773816 0.6072761363550185 0.5873422172814207 -0.37195071063522334 25.17185401916504 6.540171146392822 75.48886108398438 1 images/loop_0025.png

27 -0.3772639524239759 0.6116008266348573 0.5918781413685644 -0.36509807563323626 25.047574996948242 6.523818016052246 76.86860656738281 1 images/loop_0026.png

28 -0.369908033121892 0.6158270497263669 0.5963365926611432 -0.3582007260050005 24.90945053100586 6.508424758911133 78.20987701416016 1 images/loop_0027.png

29 -0.3629905985473944 0.6196929667573128 0.6004326986377045 -0.35170872426536004 24.767850875854492 6.494862079620361 79.68342590332031 1 images/loop_0028.png

30 -0.35535947999165957 0.6238271611683881 0.6048509996997048 -0.34454982387300015 24.5988826751709 6.4811482429504395 80.7863998413086 1 images/loop_0029.png

31 -0.34765648304553814 0.6278721226033274 0.609202354279219 -0.3373189277147912 24.4150333404541 6.468506813049316 81.86327362060547 1 images/loop_0030.png

32 -0.34011163471047734 0.6317139510442132 0.6133595275789627 -0.33022969266676705 24.2222957611084 6.4572553634643555 83.0350341796875 1 images/loop_0031.png

33 -0.33213542786570815 0.6356382523835202 0.617649948945736 -0.322736130965557 24.00536346435547 6.446833610534668 83.6404800415039 1 images/loop_0032.png

34 -0.3241233080766032 0.6394509394190067 0.6218480789986294 -0.31520079930632083 23.774049758911133 6.437671661376953 84.29930114746094 1 images/loop_0033.png

35 -0.3162265068999114 0.6430870147433048 0.6258765608590044 -0.30776357544344013 23.53321075439453 6.429848670959473 85.1866455078125 1 images/loop_0034.png

36 -0.30824096359647707 0.6466336921782135 0.629848083561907 -0.30023951794272496 23.277122497558594 6.423425197601318 85.61444091796875 1 images/loop_0035.png

37 -0.3002508977118704 0.6500591982467409 0.6337172051016321 -0.2927028205470459 23.008495330810547 6.418341636657715 85.98234558105469 1 images/loop_0036.png

38 -0.3318639025685814 0.7290032611184979 0.5448798449961129 -0.24804545947780998 23.902565002441406 -16.14757537841797 84.84507751464844 1 images/loop_0037.png

39 -0.3350953369489955 0.7280523561243278 0.5432587094423545 -0.25004170954439064 26.399829864501953 -16.163908004760742 84.15090942382812 1 images/loop_0038.png

40 -0.33447512488695924 0.7285331776284945 0.5432802435454334 -0.24942409045558556 27.831575393676758 -16.060203552246094 83.3458023071289 1 images/loop_0039.png

41 -0.33218001477097653 0.7302575363006011 0.543398320385274 -0.24718137847619792 29.01213264465332 -16.325288772583008 83.40093231201172 1 images/loop_0040.png

42 -0.32729272032056866 0.7342356695931903 0.5432622227473718 -0.24216443598882642 29.35474967956543 -17.165063858032227 84.4485092163086 1 images/loop_0041.png

43 -0.31080209490429417 0.739293726460476 0.5506818336061797 -0.2315088809428718 27.486703872680664 -17.106258392333984 85.96937561035156 1 images/loop_0042.png

